"Site_no","Country","Taxa_code","Type_1","Type_2","Site_block","Site_name","Group","Genus_family","Mode","Lowest_level","FA1","FA2","FA3","FA4","FA5","FA6","FA7","FA8","FA9","FA10","FA11","FA12","FA13","FA14","FA15","FA16","FA17","FA18","FA19","FA20","FA21","FA22","FA23","FA24","FA25","FA26","FA27","FA28","FA29","FA30","FA31","FA32","FA33","FA34","FA35","FA36","FA37","EPA_perc","DHA_perc","LNA_perc","ALA_perc","Spider_body_size","chl_a_m2_day","Width","Riparian_PC1","Catchment_PC1","s3","cd1","cy2","dis3","dis4","life1","life2","wnb2","wnb3","wnb5","EPA_ALA_ratio","Lycosidae"
13,"RO","Lyco","UBF","PAIR","SLA_PAIR","SLA_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.563777901141,-12.0723597790534,-12.3624211509634,-12.5205185213626,-13.7040710035912,-11.0090961779086,-13.8408180010438,-12.6436819725074,-11.3835546184291,-6.89831660412324,-12.559119466345,-8.84614095543434,-9.94534284532224,-6.48258923688857,-5.37628761150749,-6.28549844514692,-8.76805174689281,-7.83466347055399,-12.6089673485455,-10.6682051520113,-9.35414090538756,-12.4182425446499,-11.1696047379277,-13.0070897022091,-13.5200567417232,-12.5481921315907,-11.4018253766331,-11.7058834874672,-13.682773813773,-15.2419678559455,-11.4879288705315,-11.9791320794277,-12.7654908002228,-12.5010328744035,-13.2380293764478,-12.6190351724403,-11.0295263156879,0.84353546080693,-1.61772845430737,0.92502127124062,0.290925603554746,0.552173823364474,NA,-0.378897452679814,-1.83888291857363,0.206533114555578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448573021940083,1.17196167763733
13,"SE","Lyco","UBF","PAIR","TEM_PAIR","TEM_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.5303507923852,-11.7096894165411,-11.2843879241394,-12.3696409688377,-12.3941160652768,-8.16793660294764,-13.6729933172393,-11.0279513001888,-8.43336282486246,-6.01357257565534,-11.7588660554785,-9.14836804354916,-9.91544414675317,-6.7839673078179,-5.83909528385179,-6.48627051512922,-8.51380473188942,-8.11273313076032,-11.6660241843633,-9.29611265752021,-9.22679469585718,-10.6804446742654,-9.85378536185594,-10.1030121544035,-11.5395407987015,-11.7595206504149,-9.74733805995361,-11.0673973936953,-12.3728115217772,-14.2413774097576,-9.13200456296245,-9.40377974122506,-10.5757812282074,-11.6865239823851,-12.0907475105307,-8.96463724794388,-10.7905497318223,0.361926857697378,1.31527793095273,0.0471403895040152,0.341616352446628,0.580949746857378,-0.406908340070476,-1.08814816852422,0.368087855454144,0.416182066493577,-0.685592703757463,-0.137582512590854,0.316263279691924,-0.896673799167784,-1.28905591117403,-1.17790462812538,-0.137641191619749,-1.02240758253998,-1.00557792288989,0.294284489526253,0.00866812943947854,-0.708251446932023
14,"RO","Lyco","FBF","PAIR","SLA_PAIR","SLA_FBF","Arachnida","Lycosidae","Ground","Lycosidae",-13.0563976318148,-12.3982971109735,-11.5061710583236,-12.8027678465996,-13.4770188758894,-10.4170531318366,-13.7929976737154,-12.5243333329873,-11.0800752677822,-6.77909086534645,-12.5067684470727,-8.45229787789402,-9.95305539664758,-6.61607087056596,-5.50111418844536,-6.15251448504329,-8.31007132952381,-7.6617595502838,-12.0441870707509,-10.446103224999,-8.8121450059678,-12.4162598631344,-10.9763380157343,-11.4351090546082,-13.9509424806207,-12.0082860400765,-11.4085531699163,-11.870098258799,-13.2320836497332,-14.3130314387269,-11.6824305260169,-12.2233424596488,-12.5862038678562,-12.063870694175,-13.6126084033775,-12.8018701696965,-10.9975731810297,1.14567933437712,-0.0313296963944383,0.531263144218192,0.277850797894295,0.591727808305441,1.31678403608617,0.216552435016192,-0.402287201120535,0.407841695334788,0.677336624358038,0.237060619605637,0.613992293833097,0.989776771022301,-0.1536576834018,0.885530301840094,0.400024392301736,1.1171727590505,-0.534014196657866,-0.0226126834721155,0.706541766674541,0.667381195499026
15,"SE","Lyco","UBF","PAIR","JUM_PAIR","JUM_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-11.4069872114429,-11.6788357873136,-10.9174512844416,-12.6486220507218,-11.218420764302,-8.22199322790936,-14.283806728605,-11.7670190591772,-8.97101584491762,-6.0922639033855,-12.2664222424523,-9.40057791482778,-10.2261748205183,-6.73440010713433,-5.66772011080236,-6.4686005303237,-8.97707546965919,-8.56938718071629,-11.9825237603144,-9.21592712607269,-9.36736210481994,-10.6257814977059,-9.61026649837556,-11.1371911018337,-11.4336525787118,-11.7266298399972,-9.91400370332444,-10.826769665293,-11.9832923257384,-13.3917372065056,-9.75904052262752,-10.0528643211993,-10.9249057325492,-11.3398232969701,-12.9162690586538,-9.02289055457729,-10.8560359755418,-0.420571067327029,0.269533613932743,0.188907893858375,-0.184876523634008,1.07788768624057,1.21570924965524,0.892732430394648,0.158875143145546,-0.871296431472411,0.0650760195538056,0.0717683588914472,0.629833705925104,0.629911565121815,-0.0562173461121406,0.164412907966753,0.767328772883779,0.643008996293552,-0.612460555749012,-0.00217043514716711,-0.199698103465959,-0.653643903384504
16,"RO","Lyco","FBF","PAIR","BUG_PAIR","BUG_FBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.8310209435454,-12.2525026360169,-12.6096717972377,-12.5315103577053,-13.3452011699191,-10.0427997811112,-13.7016460665275,-11.7198482451113,-10.0872442360523,-6.51587482718178,-12.454667658355,-8.76224884957782,-10.0542134481193,-7.01107302807591,-5.40285302770818,-6.24157444122338,-8.68494371246493,-8.0068698864709,-12.046185772664,-10.0397823732885,-9.34554905818094,-11.8940743564432,-9.74195130552376,-10.322602898679,-11.8441314007539,-11.8263114440111,-10.6650333844881,-10.5205954475768,-12.7810737479461,-14.7730795381184,-10.6797390499517,-11.6595607541916,-11.5688261953974,-12.0041690754811,-12.6209243933324,-12.4948406692086,-10.7528917233832,0.54472716880501,1.09298342120987,-0.591872645300629,0.106404087282839,0.0495026189715122,NA,1.01508520536495,-0.183065806083922,0.828671546020763,0.888649540041797,0.711257177302534,0.464759893615987,1.34940091556243,-0.0574345828169684,1.19399639070986,-0.903573996657323,1.41079951815787,0.0692340513285577,-1.00736951979452,0.358157262471156,-0.00406444380377831
16,"SE","Lyco","FBF","PAIR","JUM_PAIR","JUM_FBF","Arachnida","Lycosidae","Ground","Lycosidae",-13.053336574295,-12.278646651433,-11.9929070560679,-13.4305094736558,-13.4055105449439,-8.80985886066695,-13.4327871334122,-11.2919474810514,-9.42075432640829,-6.13059201418961,-12.328352650814,-8.85514286469894,-9.91490341816933,-7.34267783599806,-5.72042179771495,-6.23364433911351,-9.12070094877937,-8.87007587783673,-12.1616404062258,-8.84460861593338,-8.88521429274438,-10.2982570998568,-8.71555552903801,-10.5929445322966,-10.7455946262997,-11.6961386429374,-9.5474298954237,-9.98953466346869,-12.1582536265435,-13.4100399693086,-8.58150687056891,-9.09277661971958,-9.30899817597749,-10.9328366233953,-12.4045792405761,-9.01897361116659,-9.86491092576243,-0.931836520834559,0.819529404257721,-1.50044273884384,0.342533180558755,-2.37062892587089,1.04183495719929,0.385292641305205,0.805440664036077,-0.733601427834411,0.39986277677298,-0.763868448686112,1.22931049414813,-0.838216611215209,0.263264739686145,-0.965387599882098,0.638628085354674,-0.864761813513517,-0.709371734605151,0.712378329642142,-1.07401515608555,-0.706697597164576
17,"RO","Lyco","UBF","PAIR","COB_PAIR","COB_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.7301812529454,-12.04522984568,-12.7927492132795,-12.7085934291745,-13.6262355831315,-9.85254911587166,-14.0270859822403,-12.0063552751014,-12.0710587641795,-7.15431945346193,-12.5830513664099,-8.90824769590286,-10.1957375225659,-6.23289635358973,-5.37672890406308,-6.2835917814355,-8.94770111866198,-8.33691422098466,-10.7563062334895,-10.4071970132244,-10.0467209713069,-13.2619663974855,-11.0338486064398,-13.2505642272117,-13.8119052367125,-13.3449883335186,-12.3207876753392,-11.5931310243172,-13.7882799355826,-14.5679515426299,-12.4047447387587,-12.3311003478305,-13.2828797735308,-13.7203602734539,-12.6717847221896,-12.3235606595882,-11.0053067679152,-0.0233044650451889,-1.8633520039856,1.68865080385003,-0.133333680777261,0.672468808650459,-0.764991192284854,-0.236503420693671,-1.75922479139979,0.0124650322551038,0.138611554633082,0.931035064132147,0.226891677295549,2.34136703271205,-0.0886672567047373,1.2490348386812,-1.2020364719959,1.80692240366762,-0.850967537299578,-1.11836475541453,0.0889135499629078,-0.0894023573519404
17,"SE","Lyco","UBF","PAIR","LIS_PAIR","LIS_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.2021729190997,-12.0172226881633,-11.2406945091322,-13.1712203421962,-11.8493925062291,-8.19611655304875,-14.2879728246773,-12.3376766780929,-9.27758127181846,-6.15007386426011,-12.6407121503892,-9.29850142023262,-10.4325747216459,-6.80828322643153,-5.63058282982935,-6.31565360931528,-8.84942814560855,-8.42544951895992,-11.9959437012405,-9.63888973549779,-9.31870137806849,-10.7617354361922,-9.74998591377533,-10.7399366813982,-12.2049910728492,-12.2371356479749,-10.281487457459,-11.2153111608858,-12.7293031119246,-14.0968366122357,-10.5842716122983,-10.5417163434512,-11.7654045432904,-11.9901897803321,-13.1730013406837,-9.4215439818349,-10.6629134364659,-0.174837360975246,0.670925769462446,-0.0220790896204215,-0.534255747835214,1.2077804441646,2.10245129296397,-0.6558502140604,-0.649576977218765,0.642354096972152,-2.47454295175353,-1.56955477896706,-0.571399150000559,-1.68201517213076,-0.595702237216218,-1.81532072397655,-1.39807323753782,-1.42957106092327,-0.913190554474818,-1.29335665373615,0.300834204649176,-0.613000924730405
19,"RO","Lyco","UBF","PAIR","POT_PAIR","POT_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-13.2705770776493,-12.1859152414078,-12.6649369150691,-13.0677209365678,-13.279374253987,-10.0098535009235,-14.3391329969591,-11.565717698847,-9.63961598011775,-6.4044186812982,-13.2580493765686,-8.73747651248133,-9.97321700596687,-6.84554044143317,-5.53578938230806,-6.17626305950249,-8.87727442464349,-7.55011566724626,-11.9141268214881,-10.4800793354648,-9.33761493748042,-11.9583571612976,-10.4880351516203,-10.3315211420402,-12.9749026113224,-13.4690350409559,-11.0100715168227,-11.9001200086491,-12.7256321499826,-14.6045868947701,-11.3118291852602,-11.8425820130586,-12.3683204816802,-12.3104731304868,-12.7142814228143,-12.1680229304094,-10.8503348434272,1.34210752950382,1.08395898911964,-0.127739999470634,0.243673805515439,0.515844979058656,0.849628976535215,0.2638397420437,-1.65018593862696,0.37505859060142,0.127569793969344,0.89143981562153,0.177703095514527,1.96959464233609,0.206808494507793,1.04850117818114,-0.279260904938697,1.45951606807077,-0.482457341209147,-0.157459784535176,0.89479287180097,-0.434241529787844
19,"SE","Lyco","UBF","PAIR","BUR_PAIR","BUR_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-11.7757143554974,-12.3779315841621,-10.8765792473147,-13.3765327533606,-11.371587296868,-7.44138518472057,-14.3999629676317,-11.5761567398835,-9.07942544453283,-6.0680012654287,-12.1489670720311,-9.0951274541498,-10.368976544541,-6.71462620681303,-5.79147282139349,-6.56399916991672,-8.66005281115511,-8.14157957600629,-11.8106942503196,-9.09929263304219,-9.2790225339182,-10.6874549862019,-9.74367675217204,-10.9255191905123,-11.609637894772,-11.6406118952784,-9.99327946051099,-10.8913762292851,-11.9825698883514,-14.2001184154511,-9.7505629703254,-9.91794607869454,-11.0158915930932,-11.4044134836482,-12.9297249492769,-9.21379023275172,-10.8199084848333,-0.879652060510327,-0.211805566800492,-1.67424499914895,-1.61389560096974,0.628787536737765,0.536441779765589,1.50046638768459,0.232666633182097,0.00714794572059421,-0.346172318457816,-0.194995449653862,-0.0513966840732027,-0.380152100982369,-0.497125762823808,-0.0216170886032353,-0.658186519402887,-0.119777703329819,-0.111769138381463,-0.412174165084187,0.615472071900587,-0.599876463178663
19,"SE","Lyco","UBF","PAIR","BUR_PAIR","BUR_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-11.6258891993229,-12.2721252910567,-10.9570438298652,-13.3249172533696,-11.5063420170463,-7.45850948034029,-14.2340050075205,-11.6755004814605,-9.11459346441055,-6.07407319852195,-12.2002997641456,-9.0892188376675,-10.3863975810708,-6.71208629763704,-5.79328693153546,-6.5420495713207,-8.67150281950799,-8.15022897483165,-11.7827452852557,-9.08447969870145,-9.25533676552347,-10.6903929670499,-9.72810083478861,-10.9162062513466,-11.5758660254778,-11.6009281347142,-9.9520579847039,-10.9310816595361,-11.9880068364493,-14.1520697986163,-9.78616253481164,-9.97799471065764,-11.0231441007267,-11.4301862436698,-12.7686783002712,-9.184579542137,-10.7946185914107,-0.879652060510327,-0.211805566800492,-1.67424499914895,-1.61389560096974,0.628787536737765,0.536441779765589,1.50046638768459,0.232666633182097,0.00714794572059421,-0.346172318457816,-0.194995449653862,-0.0513966840732027,-0.380152100982369,-0.497125762823808,-0.0216170886032353,-0.658186519402887,-0.119777703329819,-0.111769138381463,-0.412174165084187,0.628008336831256,-0.599876463178663
2,"BE","Lyco","FOR","FOR","VER_LDS","VER_LDS","Arachnida","Lycosidae","Ground","Lycosidae",-13.0864367323188,-12.5534090777337,-12.476657161494,-13.2017147179756,-13.4649245149676,-9.80580483510393,-14.4405654970156,-10.8380926799802,-9.79060825577373,-6.21187594504848,-12.0251114232532,-9.6340154946305,-10.5823449044873,-6.94411380195344,-5.59491649519681,-6.070414342356,-9.45088666155563,-9.22083858727083,-12.5045284330197,-9.26578582687991,-9.80978419981494,-11.2531591947065,-9.59575179995931,-9.98976515669483,-12.242545732263,-11.1569194713073,-10.491475506676,-10.436953270255,-11.7476330266421,-14.6627961292854,-9.16006454132635,-9.85464617359476,-9.99172407989167,-11.4517916804846,-12.9798496481048,-12.1921621438814,-10.6803770580864,-1.52552980249198,1.42999446873785,-0.405115688215922,-0.787641267778187,-0.0232358065006495,-1.39880315189165,-1.85675907457946,-0.724576558348788,1.1672342135862,-2.8363522380234,-1.69299633580196,-2.99359970116866,-2.00441854763334,-2.04834380547607,-2.11043715745346,-1.40544943064013,-1.6540086641464,-1.00557792288989,-1.27783168525908,-0.621499963872231,-0.295630066050594
2,"NO","Lyco","UBF","PAIR","AKE_PAIR","AKE_UBF","Arachnida","Lycosidae","Ground","Lycosidae",-12.9436596559245,-12.7392800766382,-12.5587476274704,-13.8757290530662,-13.0628900607161,-10.3255056797295,-14.5404756482846,-11.3735154834739,-10.9685899021734,-6.596179849748,-12.1357926303089,-8.83980034690988,-10.3478443436563,-6.05481508848163,-5.84907226940798,-6.25070373282088,-8.15176549041861,-7.74460437089085,-11.4502803099299,-8.41832751694798,-9.22610128671615,-11.4787453916782,-10.2935540075558,-11.8080411057253,-11.9332347737005,-11.5705277930929,-11.0299971093993,-11.0829772897601,-13.7085168375642,-13.8493044233705,-10.7613839321656,-10.9860721877976,-11.0997461737046,-12.4041224248346,-13.1519103424352,-11.6933016761058,-10.8386368317513,1.00061924586137,-0.407815523684729,2.2614519666828,-0.39085828174349,1.34828660742943,0.810057370933039,2.26933508866587,-0.249566791336862,-2.06068886102002,1.04965495067083,0.73874559482309,-0.505721907254186,0.0488874155051568,-0.244481703470665,1.1125954805506,-0.662028907225673,1.61587670968527,-0.905805146436316,-0.628820633249688,1.15229804194182,-0.527156723241283
